It is recommended that you do not edit rubrics in spreadsheet format					
v1.0-s					
STANDARD_CODE_1 - Assignment-Specific Skill Category 1 (4-point-scale)					
I can demonstrate the selected standard through the required assignment task. / Standard Description: Replace this placeholder with the exact CA CCSS description or a concise teacher-facing summary of the standard.					
	4	3	2	1	0
	Advanced	Proficient	Progressing	Developing	Missing / Not Assessable
	Exceeds the standard with specificity, depth, insight, strong development, or especially purposeful choices connected to the assignment.	Meets the standard with clear, accurate, complete, and understandable work appropriate to the task.	Partially meets the standard; work shows some understanding but may be general, uneven, incomplete, repetitive, or underdeveloped.	Shows limited evidence of the standard; work may be vague, minimal, unclear, inaccurate, incomplete, or weakly connected to the task.	The work is missing, off-task, or too incomplete to demonstrate the targeted skill.
STANDARD_CODE_2 - Assignment-Specific Skill Category 2 (4-point-scale)					
I can demonstrate the selected standard through the required assignment task. / Standard Description: Replace this placeholder with the exact CA CCSS description or a concise teacher-facing summary of the standard.					
	4	3	2	1	0
	Advanced	Proficient	Progressing	Developing	Missing / Not Assessable
	Exceeds the standard with specificity, depth, insight, strong development, or especially purposeful choices connected to the assignment.	Meets the standard with clear, accurate, complete, and understandable work appropriate to the task.	Partially meets the standard; work shows some understanding but may be general, uneven, incomplete, repetitive, or underdeveloped.	Shows limited evidence of the standard; work may be vague, minimal, unclear, inaccurate, incomplete, or weakly connected to the task.	The work is missing, off-task, or too incomplete to demonstrate the targeted skill.
STANDARD_CODE_3 - Assignment-Specific Skill Category 3 (4-point-scale)					
I can demonstrate the selected standard through the required assignment task. / Standard Description: Replace this placeholder with the exact CA CCSS description or a concise teacher-facing summary of the standard.					
	4	3	2	1	0
	Advanced	Proficient	Progressing	Developing	Missing / Not Assessable
	Exceeds the standard with specificity, depth, insight, strong development, or especially purposeful choices connected to the assignment.	Meets the standard with clear, accurate, complete, and understandable work appropriate to the task.	Partially meets the standard; work shows some understanding but may be general, uneven, incomplete, repetitive, or underdeveloped.	Shows limited evidence of the standard; work may be vague, minimal, unclear, inaccurate, incomplete, or weakly connected to the task.	The work is missing, off-task, or too incomplete to demonstrate the targeted skill.
STANDARD_CODE_4 - Assignment-Specific Skill Category 4 (4-point-scale)					
I can demonstrate the selected standard through the required assignment task. / Standard Description: Replace this placeholder with the exact CA CCSS description or a concise teacher-facing summary of the standard.					
	4	3	2	1	0
	Advanced	Proficient	Progressing	Developing	Missing / Not Assessable
	Exceeds the standard with specificity, depth, insight, strong development, or especially purposeful choices connected to the assignment.	Meets the standard with clear, accurate, complete, and understandable work appropriate to the task.	Partially meets the standard; work shows some understanding but may be general, uneven, incomplete, repetitive, or underdeveloped.	Shows limited evidence of the standard; work may be vague, minimal, unclear, inaccurate, incomplete, or weakly connected to the task.	The work is missing, off-task, or too incomplete to demonstrate the targeted skill.
Holistic Assignment Performance - Completion, Effort, Organization, and Overall Quality (4-point-scale)					
This category accounts for the full assignment as a completed product, including but not limited to required sections, prompts, responses, visuals, captions, explanations, examples, artifacts, following directions, care, effort, readability, overall completion, and whether the final product works as a complete assignment. It is not linked to one specific CCSS standard and preserves teacher judgment and grading flexibility.					
	4	3.4	3	2.5	0
	Advanced	Proficient	Progressing	Developing	Missing / Not Assessable
	The assignment is complete, careful, readable, coherent, and strong overall. All required parts are meaningfully completed, and the work shows strong effort, understanding, and follow-through.	The assignment successfully meets expectations overall. Most or all required parts are complete and understandable, with only minor issues in accuracy, detail, organization, or presentation.	The assignment is partially complete or uneven. Some required parts may be missing, rushed, unclear, or only partly accurate, but meaningful work and understanding are present.	The assignment shows limited completion or weak follow-through. Several required parts may be missing, unclear, inaccurate, copied, or difficult to evaluate, but there is some attempt.	The assignment is missing, off-task, or too incomplete to demonstrate meaningful effort or understanding.
